real,R0,R1,R2,Rt
0,0.5,0.001,0.0,0.0002
1,0.5,0.0015,0.0,0.0003
2,0.5,0.0015,0.000125,0.0004
3,0.5,0.001,0.0,0.0002
4,0.5,0.001,0.0,0.0002
5,0.5,0.001,0.0,0.0002
6,0.5,0.0015,0.0,0.0003
7,0.5,0.001,0.0,0.0002
8,0.5,0.001,0.0,0.0002
9,0.5,0.001,0.0,0.0002
10,0.5,0.001,0.0,0.0002
11,0.5,0.001,0.0,0.0002
12,0.5,0.001,0.0,0.0002
13,0.5,0.0015,0.0,0.0003
14,0.5,0.001,0.0,0.0002
15,0.5,0.0015,0.0,0.0003
16,0.5,0.001,0.0,0.0002
17,0.5,0.001,0.0,0.0002
18,0.5,0.001,0.0,0.0002
19,0.5,0.001,0.0,0.0002
20,0.5,0.0015,0.0,0.0003
21,0.5,0.001,0.0,0.0002
22,0.5,0.001,0.0,0.0002
23,0.5,0.001,0.0,0.0002
24,0.5,0.001,0.0,0.0002
25,0.5,0.001,0.0,0.0002
26,0.5,0.0015,0.000125,0.0004
27,0.5,0.001,0.0,0.0002
28,0.5,0.001,0.0,0.0002
29,0.5,0.001,0.0,0.0002
30,0.5,0.002,0.0,0.0004
31,0.5,0.001,0.0,0.0002
32,0.5,0.0015,0.0,0.0003
33,0.5,0.001,0.0,0.0002
34,0.5,0.001,0.0,0.0002
35,0.5,0.001,0.0,0.0002
36,0.5,0.001,0.0,0.0002
37,0.5,0.001,0.0,0.0002
38,0.5,0.001,0.0,0.0002
39,0.5,0.002,0.0,0.0004
40,0.5,0.0015,0.0,0.0003
41,0.5,0.0015,0.0,0.0003
42,0.5,0.001,0.0,0.0002
43,0.5,0.001,0.0,0.0002
44,0.5,0.001,0.0,0.0002
45,0.5,0.001,0.0,0.0002
46,0.5,0.0015,0.0,0.0003
47,0.5,0.001,0.0,0.0002
48,0.5,0.001,0.0,0.0002
49,0.5,0.001,0.0,0.0002
50,0.5,0.001,0.0,0.0002
51,0.5,0.001,0.0,0.0002
52,0.5,0.002,0.0,0.0004
53,0.5,0.001,0.0,0.0002
54,0.5,0.001,0.0,0.0002
55,0.5,0.001,0.0,0.0002
56,0.5,0.001,0.0,0.0002
57,0.5,0.001,0.0,0.0002
58,0.5,0.002,0.0,0.0004
59,0.5,0.001,0.0,0.0002
60,0.5,0.0015,0.0,0.0003
61,0.5,0.001,0.0,0.0002
62,0.5,0.001,0.0,0.0002
63,0.5,0.0015,0.0,0.0003
64,0.5,0.001,0.0,0.0002
65,0.5,0.001,0.0,0.0002
66,0.5,0.002,0.0,0.0004
67,0.5,0.001,0.0,0.0002
68,0.5,0.0015,0.0,0.0003
69,0.5,0.001,0.0,0.0002
70,0.5,0.001,0.0005,0.0006
71,0.5,0.001,0.0,0.0002
72,0.5,0.001,0.0,0.0002
73,0.5,0.0015,0.0,0.0003
74,0.5,0.001,0.0,0.0002
75,0.5,0.001,0.0,0.0002
76,0.5,0.0015,0.0,0.0003
77,0.5,0.001,0.0,0.0002
78,0.5,0.001,0.0,0.0002
79,0.5,0.001,0.0,0.0002
80,0.5,0.001,0.0,0.0002
81,0.5,0.004,0.0,0.0008
82,0.5,0.002,0.0,0.0004
83,0.5,0.001,0.0,0.0002
84,0.5,0.001,0.0,0.0002
85,0.5,0.001,0.0,0.0002
86,0.5,0.001,0.0,0.0002
87,0.5,0.001,0.0,0.0002
88,0.5,0.001,0.0005,0.0006
89,0.5,0.001,0.0,0.0002
90,0.5,0.001,0.0,0.0002
91,0.5,0.001,0.0,0.0002
92,0.5,0.001,0.0,0.0002
93,0.5,0.0015,0.0,0.0003
94,0.5,0.001,0.0,0.0002
95,0.5,0.0015,0.0,0.0003
96,0.5,0.001,0.0,0.0002
97,0.5,0.001,0.0,0.0002
98,0.5,0.001,0.0,0.0002
99,0.5,0.001,0.0,0.0002
0,0.5025025025025025,0.001,0.0,0.0002
1,0.5025025025025025,0.001,0.0,0.0002
2,0.5025025025025025,0.001,0.0,0.0002
3,0.5025025025025025,0.001,0.0,0.0002
4,0.5025025025025025,0.001,0.0,0.0002
5,0.5025025025025025,0.001,0.0,0.0002
6,0.5025025025025025,0.0015,0.0,0.0003
7,0.5025025025025025,0.001,0.0,0.0002
8,0.5025025025025025,0.001,0.0,0.0002
9,0.5025025025025025,0.001,0.0,0.0002
10,0.5025025025025025,0.001,0.0,0.0002
11,0.5025025025025025,0.001,0.000375,0.0005
12,0.5025025025025025,0.001,0.0,0.0002
13,0.5025025025025025,0.0015,0.0,0.0003
14,0.5025025025025025,0.0015,0.0,0.0003
15,0.5025025025025025,0.001,0.0,0.0002
16,0.5025025025025025,0.0015,0.0,0.0003
17,0.5025025025025025,0.001,0.0,0.0002
18,0.5025025025025025,0.001,0.0,0.0002
19,0.5025025025025025,0.001,0.0,0.0002
20,0.5025025025025025,0.0015,0.0,0.0003
21,0.5025025025025025,0.001,0.0,0.0002
22,0.5025025025025025,0.001,0.0,0.0002
23,0.5025025025025025,0.001,0.0,0.0002
24,0.5025025025025025,0.001,0.0,0.0002
25,0.5025025025025025,0.001,0.0,0.0002
26,0.5025025025025025,0.001,0.0,0.0002
27,0.5025025025025025,0.001,0.0,0.0002
28,0.5025025025025025,0.0015,0.0,0.0003
29,0.5025025025025025,0.001,0.0,0.0002
30,0.5025025025025025,0.001,0.0,0.0002
31,0.5025025025025025,0.0015,0.0,0.0003
32,0.5025025025025025,0.001,0.0,0.0002
33,0.5025025025025025,0.001,0.0,0.0002
34,0.5025025025025025,0.0015,0.0,0.0003
35,0.5025025025025025,0.001,0.0,0.0002
36,0.5025025025025025,0.001,0.0,0.0002
37,0.5025025025025025,0.001,0.0,0.0002
38,0.5025025025025025,0.001,0.0,0.0002
39,0.5025025025025025,0.001,0.0,0.0002
40,0.5025025025025025,0.001,0.0,0.0002
41,0.5025025025025025,0.001,0.0,0.0002
42,0.5025025025025025,0.001,0.0,0.0002
43,0.5025025025025025,0.001,0.0,0.0002
44,0.5025025025025025,0.001,0.0,0.0002
45,0.5025025025025025,0.001,0.0,0.0002
46,0.5025025025025025,0.001,0.0,0.0002
47,0.5025025025025025,0.0015,0.0,0.0003
48,0.5025025025025025,0.001,0.0,0.0002
49,0.5025025025025025,0.001,0.0,0.0002
50,0.5025025025025025,0.001,0.0,0.0002
51,0.5025025025025025,0.001,0.0,0.0002
52,0.5025025025025025,0.001,0.0,0.0002
53,0.5025025025025025,0.001,0.0,0.0002
54,0.5025025025025025,0.001,0.0,0.0002
55,0.5025025025025025,0.001,0.0,0.0002
56,0.5025025025025025,0.001,0.0,0.0002
57,0.5025025025025025,0.001,0.0,0.0002
58,0.5025025025025025,0.0015,0.0,0.0003
59,0.5025025025025025,0.001,0.0,0.0002
60,0.5025025025025025,0.001,0.0,0.0002
61,0.5025025025025025,0.001,0.0,0.0002
62,0.5025025025025025,0.0015,0.0,0.0003
63,0.5025025025025025,0.001,0.0,0.0002
64,0.5025025025025025,0.001,0.0,0.0002
65,0.5025025025025025,0.0025,0.000125,0.0006
66,0.5025025025025025,0.001,0.0,0.0002
67,0.5025025025025025,0.001,0.0,0.0002
68,0.5025025025025025,0.0015,0.0,0.0003
69,0.5025025025025025,0.0015,0.0,0.0003
70,0.5025025025025025,0.001,0.0,0.0002
71,0.5025025025025025,0.001,0.0,0.0002
72,0.5025025025025025,0.0015,0.0,0.0003
73,0.5025025025025025,0.002,0.000125,0.0005
74,0.5025025025025025,0.001,0.0,0.0002
75,0.5025025025025025,0.001,0.0,0.0002
76,0.5025025025025025,0.001,0.0,0.0002
77,0.5025025025025025,0.001,0.0,0.0002
78,0.5025025025025025,0.0015,0.0,0.0003
